generation,num_individuals_total,loss_min,loss_avg,loss_max,fundamental_loss_min,fundamental_loss_avg,fundamental_loss_max,toots_loss_min,toots_loss_avg,toots_loss_max,brightness_loss_min,brightness_loss_avg,brightness_loss_max
33,1000,7.193223899143948,7.80168016747878,8.00223860278179,0.009546667064235237,0.15018943145239572,0.5761300808803238,0.016456363803647456,0.2797322241722999,0.7238792823322937,6.995006032795753,7.3717585118540825,7.771896565528113
34,1000,7.193223899143948,7.794546796175183,7.996875384023859,0.009546667064235237,0.15018943145239572,0.5761300808803238,0.016456363803647456,0.2833815682255394,0.7238792823322937,6.995006032795753,7.360975796497248,7.771896565528113
35,1000,7.193223899143948,7.770903329964031,7.94530557136477,0.009546667064235237,0.15714941501037227,0.5761300808803238,0.016456363803647456,0.24070835307773986,0.6050787492730603,6.995006032795753,7.373045561875918,7.737443459665412
36,1000,7.193223899143948,7.757042781896535,7.945161413613717,0.009546667064235237,0.16010777850777957,0.5761300808803238,0.016456363803647456,0.2431301991318442,0.6050787492730603,6.995006032795753,7.353804804256913,7.737443459665412
37,1000,7.193223899143948,7.720779143826755,7.886972260629169,0.009546667064235237,0.11594702072416085,0.36479504639971516,0.016456363803647456,0.22392691071253523,0.6050787492730603,6.995006032795753,7.380905212390059,7.737443459665412
38,1000,7.193223899143948,7.680550454958383,7.884367154092732,0.009546667064235237,0.10314676156409552,0.36479504639971516,0.016456363803647456,0.24158563997495897,0.6050787492730603,6.994576070158059,7.335818053419329,7.737443459665412
39,1000,7.193223899143948,7.658517299932804,7.863221511660895,0.009546667064235237,0.1138973700842163,0.4012577168144116,0.016456363803647456,0.22473681570429682,0.5789902029179572,6.994576070158059,7.319883114144291,7.737443459665412
40,1000,7.193223899143948,7.648236051551152,7.859571176709882,0.009546667064235237,0.10799274824546057,0.4012577168144116,0.016456363803647456,0.2310688667926757,0.5789902029179572,6.994576070158059,7.309174436513014,7.737443459665412
41,1000,7.193223899143948,7.607077963706173,7.797423782904697,0.009546667064235237,0.11584095687225959,0.4012577168144116,0.016456363803647456,0.21878657854845618,0.5789902029179572,6.939337859514277,7.272450428285457,7.724583976326169
42,1000,7.193223899143948,7.5694209026885035,7.750587007194052,0.009546667064235237,0.11879125393636025,0.4012577168144116,0.016456363803647456,0.1906707603801261,0.5789902029179572,6.939337859514277,7.259958888372016,7.724583976326169
43,1000,7.193223899143948,7.541920108901768,7.737870936494882,0.009546667064235237,0.12078286755070877,0.4012577168144116,0.04722531114204287,0.20594964593858234,0.5789902029179572,6.939337859514277,7.215187595412478,7.50434637539526
44,1000,7.193223899143948,7.5215567923008635,7.696525655837422,0.009546667064235237,0.11969950833184795,0.4012577168144116,0.04722531114204287,0.18722372685836142,0.5789902029179572,6.939337859514277,7.214633557110655,7.50434637539526
45,1000,7.193223899143948,7.499668206595492,7.675099715293553,0.009546667064235237,0.10009014807878946,0.4012577168144116,0.04722531114204287,0.1881157423101809,0.5789902029179572,6.994576070158059,7.2114623162065215,7.50434637539526
46,1000,7.193223899143948,7.489187612652517,7.669814466891421,0.009546667064235237,0.10302842763587394,0.4012577168144116,0.04722531114204287,0.1901233240509277,0.5789902029179572,6.994576070158059,7.196035860965718,7.50434637539526
47,1000,7.193223899143948,7.46243678512478,7.6575965440278395,0.009546667064235237,0.10884499605275844,0.4012577168144116,0.04722531114204287,0.18689309387765207,0.5789902029179572,6.994576070158059,7.166698695194365,7.432780832526914
48,1000,7.193223899143948,7.4454829540779714,7.622945212427222,0.009546667064235237,0.1157243903387446,0.4012577168144116,0.04722531114204287,0.18073240443197047,0.5789902029179572,6.994576070158059,7.149026159307256,7.3695380204046
